CreatedDate,BusinessName,Category,Website,Phone,Address,StreetAddress,City,State,Zip,Rating
2022-05-12,SafetyCare,Safety equipment supplier in the Republic of Ireland,http://www.safetycare.ie/,+353 1 849 9100,"Pinnacle House, Newtown Cross, The Ward, Co. Dublin, Ireland",,,,,4.6
2022-05-12,Nike Factory Store Dublin,"Sporting goods store in Dublin, Ireland",https://www.nike.com/ie/retail/s/dublin-nike-factory-store?cp=61872410739_seo_&amp;y_source=1_NTQ5NTQxMy03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,+353 1 811 1140,"Westend Retail Park Unit 6, Blanchardstown, Dublin, Ireland",Westend Retail Park Unit 6  Blanchardstown," Dublin",,,4.2
2022-05-12,Foot Locker,Shoe store in Multan,https://website--8084490852467495530191-shoestore.business.site/?utm_source=gmb&amp;utm_medium=referral,0336 9631608,"LMQ Rd, Tariqabad, Multan, Punjab 60000",LMQ Rd  Tariqabad," Multan",Punjab,60000,4.2
2022-05-12,Korky's Henry Street,"Shoe store in Dublin, Ireland",https://www.korkys.ie/,+353 1 873 1359,"40 Henry St, North City, Dublin 1, D01 DD51, Ireland",,,,,4.0
2022-05-12,schuh,$$,https://www.schuh.ie/stores/dublin-o'connell-street/?utm_source=googlelistings&amp;utm_campaign=local&amp;utm_medium=organic&amp;utm_term=26&amp;y_source=1_OTA3NDczNC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,+353 1 247 6147,"47-48 O'Connell Street Upper, North City, Dublin, D01 PK22, Ireland",,,,,4.3
2022-05-12,Grahams,"Shoe store in Dublin, Ireland",https://purpletag.ie/,+353 1 677 4645,"14 Exchequer St, Dublin, D02 A407, Ireland",14 Exchequer St," Dublin",D02,A407,4.3
2022-05-12,China Blue Shoes,"Shoe store in Dublin, Ireland",http://www.chinablueshoes.com/,+353 1 671 8785,"2 Merchant's Arch, Temple Bar, Dublin 2, D02 WP27, Ireland",,,,,4.6
2022-05-12,size?,"Shoe store in Dublin, Ireland",,+353 1 513 3233,"26 Wicklow St, Dublin, D02 W624, Ireland",26 Wicklow St," Dublin",D02,W624,3.8
2022-05-12,Clarks,$$,http://www.clarks.co.uk/?cm_mmc=Google-_-Maps-_-na-_-na,+353 1 671 1257,"85 Grafton Street, Dublin Southside, Dublin, Ireland",85 Grafton Street  Dublin Southside," Dublin",,,4.3
2022-05-12,OFFICE,$$,https://www.office.co.uk/view/content/storelocator?findStore=D2&amp;storename=Office%20Grafton%20Street,+353 1 672 9334,"7 Grafton Street, Dublin 2, D02 Y308, Ireland",7 Grafton Street," Dublin 2",D02,Y308,3.4
2022-05-12,schuh,$$,https://www.schuh.ie/stores/dublin-jervis-centre/?utm_source=googlelistings&amp;utm_campaign=local&amp;utm_medium=organic&amp;utm_term=21&amp;y_source=1_OTA3NDY3NS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,+353 1 247 6144,"Unit 5, First Floor, Jervis Shopping Centre, Dublin 1, D01 F2X7, Ireland",,,,,3.8
2022-05-12,Clarks,$$,http://www.clarks.co.uk/?cm_mmc=Google-_-Maps-_-na-_-na,+353 1 873 2592,"25 Henry St, North City, Dublin 1, D01 XR79, Ireland",,,,,4.4
2022-05-12,"Dune London, Grafton St","Shoe store in Dublin, Ireland",https://www.dunelondon.com/,+353 1 672 4634,"69 Grafton Street, Dublin, D02 HC04, Ireland",69 Grafton Street," Dublin",D02,HC04,4.2
2022-05-12,O'Neills Shoes,"Shoe store in Dublin, Ireland",http://www.oneillsshoes.ie/,+353 1 874 5348,"11 Talbot St, North City, Dublin, D01 H5Y2, Ireland",,,,,4.4
2022-05-12,ALDO Shoes,$$,https://aldoshoes.co.uk/,+353 1 872 8198,"31 &amp; 32 Mary St, North City, Dublin, D01 VK24, Ireland",,,,,4.0
2022-05-12,dopl.,"Shoe store in Dublin, Ireland",http://birkenstock.ie/,+353 1 675 3766,"36 Wicklow St, Dublin 2, D02 CX23, Ireland",36 Wicklow St," Dublin 2",D02,CX23,4.5
2022-05-12,Dubarry of Ireland,"Shoe store in Dublin, Ireland",https://www.dubarry.com/ie/dubarry-dublin,+353 1 677 9001,"35 College Green, Dublin, D02 N271, Ireland",35 College Green," Dublin",D02,N271,4.5
2022-05-12,Foot Locker,$$,https://stores.footlocker.eu/dublin/dublin/49-lower-o-connell-street.html,+353 1 804 9415,"49 Lower O'Connell Street Upper, North City, Dublin, D01 CK02, Ireland",,,,,4.0
2022-05-12,Carl Scarpa Grafton Street,"Shoe store in Dublin, Ireland",http://www.carlscarpa.com/,+353 1 677 7846,"25 Grafton Street, Dublin 2, D02 TY77, Ireland",25 Grafton Street," Dublin 2",D02,TY77,3.0
2022-05-12,PurpleTag,"Shoe store in Dublin, Ireland",https://purpletag.ie/,,"14 Exchequer St, Dublin 2, D02 A407, Ireland",14 Exchequer St," Dublin 2",D02,A407,4.5
2022-05-12,Boylans Shoes,"Shoe store in Dublin, Ireland",https://www.boylansshoes.ie/,+353 1 671 1509,"13-17 Dawson St, Dublin, Ireland",13-17 Dawson St," Dublin",,,4.8
2022-05-12,Genius Clothing and Footwear,"Men's clothing store in Dublin, Ireland",http://www.genius.ie/,+353 1 679 7851,"6a, Powerscourt Townhouse Centre, Clarendon Street, Dublin, Ireland",,,,,4.5
2022-05-12,SafetyCare,Safety equipment supplier in the Republic of Ireland,http://www.safetycare.ie/,+353 1 849 9100,"Pinnacle House, Newtown Cross, The Ward, Co. Dublin, Ireland",,,,,4.6
2022-05-12,Nike Factory Store Dublin,"Sporting goods store in Dublin, Ireland",https://www.nike.com/ie/retail/s/dublin-nike-factory-store?cp=61872410739_seo_&amp;y_source=1_NTQ5NTQxMy03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,+353 1 811 1140,"Westend Retail Park Unit 6, Blanchardstown, Dublin, Ireland",Westend Retail Park Unit 6  Blanchardstown," Dublin",,,4.2
2022-05-12,Foot Locker,Shoe store in Multan,https://website--8084490852467495530191-shoestore.business.site/?utm_source=gmb&amp;utm_medium=referral,0336 9631608,"LMQ Rd, Tariqabad, Multan, Punjab 60000",LMQ Rd  Tariqabad," Multan",Punjab,60000,4.2
2022-05-12,Korky's Henry Street,"Shoe store in Dublin, Ireland",https://www.korkys.ie/,+353 1 873 1359,"40 Henry St, North City, Dublin 1, D01 DD51, Ireland",,,,,4.0
2022-05-12,schuh,$$,https://www.schuh.ie/stores/dublin-o'connell-street/?utm_source=googlelistings&amp;utm_campaign=local&amp;utm_medium=organic&amp;utm_term=26&amp;y_source=1_OTA3NDczNC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,+353 1 247 6147,"47-48 O'Connell Street Upper, North City, Dublin, D01 PK22, Ireland",,,,,4.3
2022-05-12,Grahams,"Shoe store in Dublin, Ireland",https://purpletag.ie/,+353 1 677 4645,"14 Exchequer St, Dublin, D02 A407, Ireland",14 Exchequer St," Dublin",D02,A407,4.3
2022-05-12,China Blue Shoes,"Shoe store in Dublin, Ireland",http://www.chinablueshoes.com/,+353 1 671 8785,"2 Merchant's Arch, Temple Bar, Dublin 2, D02 WP27, Ireland",,,,,4.6
2022-05-12,Dubarry of Ireland,"Shoe store in Dublin, Ireland",https://www.dubarry.com/ie/dubarry-dublin,+353 1 677 9001,"35 College Green, Dublin, D02 N271, Ireland",35 College Green," Dublin",D02,N271,4.5
2022-05-12,Clarks,$$,http://www.clarks.co.uk/?cm_mmc=Google-_-Maps-_-na-_-na,+353 1 671 1257,"85 Grafton Street, Dublin Southside, Dublin, Ireland",85 Grafton Street  Dublin Southside," Dublin",,,4.3
2022-05-12,OFFICE,$$,https://www.office.co.uk/view/content/storelocator?findStore=D2&amp;storename=Office%20Grafton%20Street,+353 1 672 9334,"7 Grafton Street, Dublin 2, D02 Y308, Ireland",7 Grafton Street," Dublin 2",D02,Y308,3.4
